x,rho,rhou,rhoE,u,p
0.0210021,1.02632,0.307895,2.57908,0.3,1.01316
0.0211021,1.02644,0.307932,2.57924,0.3,1.01322
0.0212021,1.02656,0.307969,2.5794,0.3,1.01328
0.0213021,1.02669,0.308007,2.57956,0.3,1.01334
0.0214021,1.02681,0.308044,2.57972,0.3,1.01341
0.0215022,1.02694,0.308081,2.57989,0.3,1.01347
0.0216022,1.02706,0.308119,2.58005,0.3,1.01353
0.0217022,1.02719,0.308156,2.58021,0.3,1.01359
0.0218022,1.02731,0.308194,2.58037,0.3,1.01366
0.0219022,1.02744,0.308231,2.58053,0.3,1.01372
0.0220022,1.02756,0.308268,2.58069,0.3,1.01378
0.0221022,1.02769,0.308306,2.58085,0.3,1.01384
0.0222022,1.02781,0.308343,2.58101,0.3,1.0139
0.0223022,1.02793,0.30838,2.58117,0.3,1.01397
0.0224022,1.02806,0.308418,2.58134,0.3,1.01403
0.0225023,1.02818,0.308455,2.5815,0.3,1.01409
0.0226023,1.02831,0.308492,2.58166,0.3,1.01415
0.0227023,1.02843,0.30853,2.58182,0.3,1.01422
0.0228023,1.02856,0.308567,2.58198,0.3,1.01428
0.0229023,1.02868,0.308604,2.58214,0.3,1.01434
0.0230023,1.02881,0.308642,2.5823,0.3,1.0144
0.0231023,1.02893,0.308679,2.58246,0.3,1.01446
0.0232023,1.02905,0.308716,2.58262,0.3,1.01453
0.0233023,1.02918,0.308753,2.58279,0.3,1.01459
0.0234023,1.0293,0.308791,2.58295,0.3,1.01465
0.0235024,1.02943,0.308828,2.58311,0.3,1.01471
0.0236024,1.02955,0.308865,2.58327,0.3,1.01478
0.0237024,1.02968,0.308903,2.58343,0.3,1.01484
0.0238024,1.0298,0.30894,2.58359,0.3,1.0149
0.0239024,1.02992,0.308977,2.58375,0.3,1.01496
0.0240024,1.03005,0.309014,2.58391,0.3,1.01502
0.0241024,1.03017,0.309052,2.58407,0.3,1.01509
0.0242024,1.0303,0.309089,2.58423,0.3,1.01515
0.0243024,1.03042,0.309126,2.58439,0.3,1.01521
0.0244024,1.03055,0.309164,2.58456,0.3,1.01527
0.0245025,1.03067,0.309201,2.58472,0.3,1.01533
0.0246025,1.03079,0.309238,2.58488,0.3,1.0154
0.0247025,1.03092,0.309275,2.58504,0.3,1.01546
0.0248025,1.03104,0.309313,2.5852,0.3,1.01552
0.0249025,1.03117,0.30935,2.58536,0.3,1.01558
0.0250025,1.03129,0.309387,2.58552,0.3,1.01564
0.0251025,1.03141,0.309424,2.58568,0.3,1.01571
0.0252025,1.03154,0.309461,2.58584,0.3,1.01577
0.0253025,1.03166,0.309499,2.586,0.3,1.01583
0.0254025,1.03179,0.309536,2.58616,0.3,1.01589
0.0255026,1.03191,0.309573,2.58632,0.3,1.01596
0.0256026,1.03203,0.30961,2.58648,0.3,1.01602
0.0257026,1.03216,0.309648,2.58665,0.3,1.01608
0.0258026,1.03228,0.309685,2.58681,0.3,1.01614
0.0259026,1.03241,0.309722,2.58697,0.3,1.0162
0.0260026,1.03253,0.309759,2.58713,0.3,1.01627
0.0261026,1.03265,0.309796,2.58729,0.3,1.01633
0.0262026,1.03278,0.309834,2.58745,0.3,1.01639
0.0263026,1.0329,0.309871,2.58761,0.3,1.01645
0.0264026,1.03303,0.309908,2.58777,0.3,1.01651
0.0265027,1.03315,0.309945,2.58793,0.3,1.01658
0.0266027,1.03327,0.309982,2.58809,0.3,1.01664
0.0267027,1.0334,0.31002,2.58825,0.3,1.0167
0.0268027,1.03352,0.310057,2.58841,0.3,1.01676
0.0269027,1.03365,0.310094,2.58857,0.3,1.01682
0.0270027,1.03377,0.310131,2.58873,0.3,1.01689
0.0271027,1.03389,0.310168,2.58889,0.3,1.01695
0.0272027,1.03402,0.310205,2.58905,0.3,1.01701
0.0273027,1.03414,0.310242,2.58921,0.3,1.01707
0.0274027,1.03427,0.31028,2.58937,0.3,1.01713
0.0275028,1.03439,0.310317,2.58953,0.3,1.01719
0.0276028,1.03451,0.310354,2.58969,0.3,1.01726
0.0277028,1.03464,0.310391,2.58985,0.3,1.01732
0.0278028,1.03476,0.310428,2.59001,0.3,1.01738
0.0279028,1.03488,0.310465,2.59018,0.3,1.01744
0.0280028,1.03501,0.310502,2.59034,0.3,1.0175
0.0281028,1.03513,0.31054,2.5905,0.3,1.01757
0.0282028,1.03526,0.310577,2.59066,0.3,1.01763
0.0283028,1.03538,0.310614,2.59082,0.3,1.01769
0.0284028,1.0355,0.310651,2.59098,0.3,1.01775
0.0285029,1.03563,0.310688,2.59114,0.3,1.01781
0.0286029,1.03575,0.310725,2.5913,0.3,1.01788
0.0287029,1.03587,0.310762,2.59146,0.3,1.01794
0.0288029,1.036,0.310799,2.59162,0.3,1.018
0.0289029,1.03612,0.310836,2.59178,0.3,1.01806
0.0290029,1.03624,0.310873,2.59194,0.3,1.01812
0.0291029,1.03637,0.31091,2.5921,0.3,1.01818
0.0292029,1.03649,0.310948,2.59226,0.3,1.01825
0.0293029,1.03662,0.310985,2.59242,0.3,1.01831
0.0294029,1.03674,0.311022,2.59258,0.3,1.01837
0.029503,1.03686,0.311059,2.59274,0.3,1.01843
0.029603,1.03699,0.311096,2.5929,0.3,1.01849
0.029703,1.03711,0.311133,2.59306,0.3,1.01855
0.029803,1.03723,0.31117,2.59322,0.3,1.01862
0.029903,1.03736,0.311207,2.59338,0.3,1.01868
0.030003,1.03748,0.311244,2.59354,0.3,1.01874
0.030103,1.0376,0.311281,2.5937,0.3,1.0188
0.030203,1.03773,0.311318,2.59386,0.3,1.01886
0.030303,1.03785,0.311355,2.59402,0.3,1.01893
0.030403,1.03797,0.311392,2.59418,0.3,1.01899
0.0305031,1.0381,0.311429,2.59434,0.3,1.01905
0.0306031,1.03822,0.311466,2.5945,0.3,1.01911
0.0307031,1.03834,0.311503,2.59466,0.3,1.01917
0.0308031,1.03847,0.31154,2.59481,0.3,1.01923
0.0309031,1.03859,0.311577,2.59497,0.3,1.0193
0.0310031,1.03871,0.311614,2.59513,0.3,1.01936
0.0311031,1.03884,0.311651,2.59529,0.3,1.01942
0.0312031,1.03896,0.311688,2.59545,0.3,1.01948
0.0313031,1.03908,0.311725,2.59561,0.3,1.01954
0.0314031,1.03921,0.311762,2.59577,0.3,1.0196
0.0315032,1.03933,0.311799,2.59593,0.3,1.01967
0.0316032,1.03945,0.311836,2.59609,0.3,1.01973
0.0317032,1.03958,0.311873,2.59625,0.3,1.01979
