x,rho,rhou,rhoE,u,p
0.039604,1.03005,0.278656,2.57159,0.270526,1.01356
0.039704,1.03017,0.278695,2.57175,0.270533,1.01362
0.039804,1.03029,0.278734,2.5719,0.270539,1.01368
0.039904,1.03041,0.278774,2.57205,0.270545,1.01374
0.040004,1.03054,0.278813,2.5722,0.270551,1.01379
0.040104,1.03066,0.278852,2.57235,0.270558,1.01385
0.040204,1.03078,0.278891,2.57251,0.270564,1.01391
0.040304,1.0309,0.278931,2.57266,0.270571,1.01397
0.040404,1.03102,0.27897,2.57281,0.270577,1.01403
0.0405041,1.03114,0.279009,2.57296,0.270583,1.01409
0.0406041,1.03126,0.279049,2.57311,0.27059,1.01414
0.0407041,1.03138,0.279088,2.57326,0.270596,1.0142
0.0408041,1.0315,0.279127,2.57342,0.270602,1.01426
0.0409041,1.03162,0.279167,2.57357,0.270609,1.01432
0.0410041,1.03175,0.279206,2.57372,0.270615,1.01438
0.0411041,1.03187,0.279246,2.57387,0.270622,1.01443
0.0412041,1.03199,0.279285,2.57402,0.270628,1.01449
0.0413041,1.03211,0.279324,2.57418,0.270635,1.01455
0.0414041,1.03223,0.279364,2.57433,0.270641,1.01461
0.0415042,1.03235,0.279403,2.57448,0.270648,1.01467
0.0416042,1.03247,0.279443,2.57463,0.270654,1.01473
0.0417042,1.03259,0.279482,2.57478,0.270661,1.01478
0.0418042,1.03271,0.279521,2.57493,0.270667,1.01484
0.0419042,1.03283,0.279561,2.57509,0.270674,1.0149
0.0420042,1.03295,0.2796,2.57524,0.27068,1.01496
0.0421042,1.03308,0.27964,2.57539,0.270687,1.01502
0.0422042,1.0332,0.279679,2.57554,0.270693,1.01507
0.0423042,1.03332,0.279719,2.57569,0.2707,1.01513
0.0424042,1.03344,0.279758,2.57584,0.270706,1.01519
0.0425043,1.03356,0.279798,2.576,0.270713,1.01525
0.0426043,1.03368,0.279837,2.57615,0.27072,1.01531
0.0427043,1.0338,0.279877,2.5763,0.270726,1.01537
0.0428043,1.03392,0.279916,2.57645,0.270733,1.01542
0.0429043,1.03404,0.279956,2.5766,0.270739,1.01548
0.0430043,1.03416,0.279995,2.57675,0.270746,1.01554
0.0431043,1.03428,0.280035,2.57691,0.270753,1.0156
0.0432043,1.0344,0.280074,2.57706,0.270759,1.01566
0.0433043,1.03452,0.280114,2.57721,0.270766,1.01571
0.0434043,1.03465,0.280154,2.57736,0.270773,1.01577
0.0435044,1.03477,0.280193,2.57751,0.270779,1.01583
0.0436044,1.03489,0.280233,2.57766,0.270786,1.01589
0.0437044,1.03501,0.280272,2.57781,0.270793,1.01595
0.0438044,1.03513,0.280312,2.57797,0.270799,1.016
0.0439044,1.03525,0.280351,2.57812,0.270806,1.01606
0.0440044,1.03537,0.280391,2.57827,0.270813,1.01612
0.0441044,1.03549,0.280431,2.57842,0.270819,1.01618
0.0442044,1.03561,0.28047,2.57857,0.270826,1.01624
0.0443044,1.03573,0.28051,2.57872,0.270833,1.0163
0.0444044,1.03585,0.28055,2.57887,0.27084,1.01635
0.0445045,1.03597,0.280589,2.57903,0.270847,1.01641
0.0446045,1.03609,0.280629,2.57918,0.270853,1.01647
0.0447045,1.03621,0.280669,2.57933,0.27086,1.01653
0.0448045,1.03633,0.280708,2.57948,0.270867,1.01659
0.0449045,1.03645,0.280748,2.57963,0.270874,1.01664
0.0450045,1.03657,0.280788,2.57978,0.27088,1.0167
